id_empleado,nombre,departamento,salario
1,Luis Flores,Operaciones,1711000
2,Paula Rojas,Operaciones,2400000
3,Matias Rodriguez,Operaciones,1987000
4,Camila Munoz,Marketing,2133000
5,Carlos Rojas,Soporte,2153000
6,Diego Lopez,Finanzas,3057000
7,Andres Soto,Finanzas,2655000
8,Maria Martinez,Marketing,3999000
9,Camila Navarro,Marketing,1900000
10,Hector Silva,TI,3093000
11,Paula Martinez,Marketing,4018000
12,Hector Silva,Marketing,2528000
13,Luis Silva,Soporte,1331000
14,Fernanda Lopez,Finanzas,1471000
15,Maria Reyes,Marketing,2488000
16,Maria Castillo,RRHH,3833000
17,Daniela Perez,Finanzas,1771000
18,Pedro Vargas,Operaciones,2276000
19,Lucia Herrera,Operaciones,2835000
20,Andres Silva,TI,3287000
21,Felipe Rojas,Soporte,1392000
22,Diego Perez,Marketing,1855000
23,Ricardo Navarro,Ventas,2776000
24,Paula Navarro,RRHH,3367000
25,Sofia Vargas,Soporte,1247000
26,Diego Vargas,Soporte,2292000
27,Fernanda Diaz,Finanzas,2980000
28,Jorge Flores,Ventas,4157000
29,Sofia Torres,Soporte,1931000
30,Isabella Diaz,Soporte,3761000
31,Carlos Torres,Operaciones,2014000
32,Valentina Rodriguez,Soporte,1861000
33,Hector Torres,Ventas,3653000
34,Fernanda Castillo,Ventas,1658000
35,Andres Sepulveda,TI,1437000
36,Pedro Reyes,Ventas,1550000
37,Felipe Rojas,Soporte,3381000
38,Valentina Perez,Marketing,3146000
39,Hector Soto,Finanzas,3361000
40,Matias Herrera,TI,3408000
41,Maria Sepulveda,RRHH,3951000
42,Andres Flores,Operaciones,3049000
43,Diego Silva,TI,1462000
44,Fernanda Gonzalez,Operaciones,3468000
45,Pedro Reyes,TI,1229000
46,Camila Munoz,TI,1476000
47,Luis Morales,Ventas,3305000
48,Pedro Martinez,Marketing,3188000
49,Maria Vargas,TI,4162000
50,Lucia Reyes,RRHH,2195000
