id_cliente,nombre,email,estado
1,Cliente_1,cliente1@correo.cl,Activo
2,Cliente_2,cliente2@correo.cl,Activo
3,Cliente_3,cliente3@correo.cl,Inactivo
4,Cliente_4,cliente4@correo.cl,Activo
5,Cliente_5,cliente5@correo.cl,Activo
6,Cliente_6,cliente6@correo.cl,Activo
7,Cliente_7,cliente7@correo.cl,Activo
8,Cliente_8,cliente8@correo.cl,Activo
9,Cliente_9,cliente9@correo.cl,Inactivo
10,Cliente_10,cliente10@correo.cl,Activo
11,Cliente_11,cliente11@correo.cl,Activo
12,Cliente_12,cliente12@correo.cl,Activo
13,Cliente_13,cliente13@correo.cl,Activo
14,Cliente_14,cliente14@correo.cl,Activo
15,Cliente_15,cliente15@correo.cl,Activo
16,Cliente_16,cliente16@correo.cl,Activo
17,Cliente_17,cliente17@correo.cl,Inactivo
18,Cliente_18,cliente18@correo.cl,Activo
19,Cliente_19,cliente19@correo.cl,Inactivo
20,Cliente_20,cliente20@correo.cl,Inactivo
21,Cliente_21,cliente21@correo.cl,Activo
22,Cliente_22,cliente22@correo.cl,Activo
23,Cliente_23,cliente23@correo.cl,Inactivo
24,Cliente_24,cliente24@correo.cl,Inactivo
25,Cliente_25,cliente25@correo.cl,Inactivo
26,Cliente_26,cliente26@correo.cl,Activo
27,Cliente_27,cliente27@correo.cl,Activo
28,Cliente_28,cliente28@correo.cl,Inactivo
29,Cliente_29,cliente29@correo.cl,Activo
30,Cliente_30,cliente30@correo.cl,Activo
31,Cliente_31,cliente31@correo.cl,Inactivo
32,Cliente_32,cliente32@correo.cl,Activo
33,Cliente_33,cliente33@correo.cl,Inactivo
34,Cliente_34,cliente34@correo.cl,Inactivo
35,Cliente_35,cliente35@correo.cl,Inactivo
36,Cliente_36,cliente36@correo.cl,Activo
37,Cliente_37,cliente37@correo.cl,Inactivo
38,Cliente_38,cliente38@correo.cl,Activo
39,Cliente_39,cliente39@correo.cl,Inactivo
40,Cliente_40,cliente40@correo.cl,Activo
41,Cliente_41,cliente41@correo.cl,Inactivo
42,Cliente_42,cliente42@correo.cl,Inactivo
43,Cliente_43,cliente43@correo.cl,Activo
44,Cliente_44,cliente44@correo.cl,Activo
45,Cliente_45,cliente45@correo.cl,Activo
46,Cliente_46,cliente46@correo.cl,Activo
47,Cliente_47,cliente47@correo.cl,Inactivo
48,Cliente_48,cliente48@correo.cl,Activo
49,Cliente_49,cliente49@correo.cl,Activo
50,Cliente_50,cliente50@correo.cl,Activo
51,Cliente_51,cliente51@correo.cl,Inactivo
52,Cliente_52,cliente52@correo.cl,Inactivo
53,Cliente_53,cliente53@correo.cl,Inactivo
54,Cliente_54,cliente54@correo.cl,Inactivo
55,Cliente_55,cliente55@correo.cl,Activo
56,Cliente_56,cliente56@correo.cl,Inactivo
57,Cliente_57,cliente57@correo.cl,Inactivo
58,Cliente_58,cliente58@correo.cl,Activo
59,Cliente_59,cliente59@correo.cl,Inactivo
60,Cliente_60,cliente60@correo.cl,Activo
61,Cliente_61,cliente61@correo.cl,Activo
62,Cliente_62,cliente62@correo.cl,Activo
63,Cliente_63,cliente63@correo.cl,Activo
64,Cliente_64,cliente64@correo.cl,Inactivo
65,Cliente_65,cliente65@correo.cl,Inactivo
66,Cliente_66,cliente66@correo.cl,Inactivo
67,Cliente_67,cliente67@correo.cl,Activo
68,Cliente_68,cliente68@correo.cl,Inactivo
69,Cliente_69,cliente69@correo.cl,Activo
70,Cliente_70,cliente70@correo.cl,Activo
71,Cliente_71,cliente71@correo.cl,Activo
72,Cliente_72,cliente72@correo.cl,Inactivo
73,Cliente_73,cliente73@correo.cl,Inactivo
74,Cliente_74,cliente74@correo.cl,Inactivo
75,Cliente_75,cliente75@correo.cl,Activo
76,Cliente_76,cliente76@correo.cl,Activo
77,Cliente_77,cliente77@correo.cl,Inactivo
78,Cliente_78,cliente78@correo.cl,Activo
79,Cliente_79,cliente79@correo.cl,Inactivo
80,Cliente_80,cliente80@correo.cl,Inactivo
81,Cliente_81,cliente81@correo.cl,Inactivo
82,Cliente_82,cliente82@correo.cl,Activo
83,Cliente_83,cliente83@correo.cl,Inactivo
84,Cliente_84,cliente84@correo.cl,Activo
85,Cliente_85,cliente85@correo.cl,Activo
86,Cliente_86,cliente86@correo.cl,Inactivo
87,Cliente_87,cliente87@correo.cl,Inactivo
88,Cliente_88,cliente88@correo.cl,Inactivo
89,Cliente_89,cliente89@correo.cl,Inactivo
90,Cliente_90,cliente90@correo.cl,Activo
91,Cliente_91,cliente91@correo.cl,Activo
92,Cliente_92,cliente92@correo.cl,Inactivo
93,Cliente_93,cliente93@correo.cl,Activo
94,Cliente_94,cliente94@correo.cl,Activo
95,Cliente_95,cliente95@correo.cl,Activo
96,Cliente_96,cliente96@correo.cl,Activo
97,Cliente_97,cliente97@correo.cl,Activo
98,Cliente_98,cliente98@correo.cl,Inactivo
99,Cliente_99,cliente99@correo.cl,Activo
100,Cliente_100,cliente100@correo.cl,Inactivo
101,Cliente_101,cliente101@correo.cl,Inactivo
102,Cliente_102,cliente102@correo.cl,Inactivo
103,Cliente_103,cliente103@correo.cl,Inactivo
104,Cliente_104,cliente104@correo.cl,Activo
105,Cliente_105,cliente105@correo.cl,Activo
106,Cliente_106,cliente106@correo.cl,Inactivo
107,Cliente_107,cliente107@correo.cl,Inactivo
108,Cliente_108,cliente108@correo.cl,Activo
109,Cliente_109,cliente109@correo.cl,Inactivo
110,Cliente_110,cliente110@correo.cl,Inactivo
111,Cliente_111,cliente111@correo.cl,Activo
112,Cliente_112,cliente112@correo.cl,Inactivo
113,Cliente_113,cliente113@correo.cl,Activo
114,Cliente_114,cliente114@correo.cl,Inactivo
115,Cliente_115,cliente115@correo.cl,Activo
116,Cliente_116,cliente116@correo.cl,Activo
117,Cliente_117,cliente117@correo.cl,Inactivo
118,Cliente_118,cliente118@correo.cl,Activo
119,Cliente_119,cliente119@correo.cl,Activo
