id_cliente,nombre,email,ciudad
1,Camila Díaz,camila.diaz1@correo.cl,Santiago
2,Diego Martínez,diego.martinez2@correo.cl,Concepción
3,Joaquín Pérez,joaquin.perez3@correo.cl,Valparaíso
4,Lucas Flores,lucas.flores4@correo.cl,Valparaíso
5,Amanda Fuentes,amanda.fuentes5@correo.cl,Santiago
6,Sofía Rojas,sofia.rojas6@correo.cl,Concepción
7,Joaquín Araya,joaquin.araya7@correo.cl,Puerto Montt
8,Sofía Flores,sofia.flores8@correo.cl,Concepción
9,Renata Flores,renata.flores9@correo.cl,Antofagasta
10,Joaquín Hernández,joaquin.hernandez10@correo.cl,Puerto Montt
11,Martina González,martina.gonzalez11@correo.cl,Viña del Mar
12,Renata Fuentes,renata.fuentes12@correo.cl,Temuco
13,Martina Pérez,martina.perez13@correo.cl,Concepción
14,Trinidad Morales,trinidad.morales14@correo.cl,Valparaíso
15,Valentina López,valentina.lopez15@correo.cl,Valparaíso
16,Agustín Rodríguez,agustin.rodriguez16@correo.cl,Puerto Montt
17,Martina Muñoz,martina.munoz17@correo.cl,Rancagua
18,Gabriel Díaz,gabriel.diaz18@correo.cl,Antofagasta
19,Valentina Flores,valentina.flores19@correo.cl,La Serena
20,Paz Valenzuela,paz.valenzuela20@correo.cl,Temuco
21,Amanda Contreras,amanda.contreras21@correo.cl,Valparaíso
22,Mateo Silva,mateo.silva22@correo.cl,La Serena
23,Valentina Silva,valentina.silva23@correo.cl,Valparaíso
24,Antonia Martínez,antonia.martinez24@correo.cl,Rancagua
25,Camila Rodríguez,camila.rodriguez25@correo.cl,Viña del Mar
26,Emilia Martínez,emilia.martinez26@correo.cl,Valparaíso
27,Felipe Soto,felipe.soto27@correo.cl,Talca
28,Diego Silva,diego.silva28@correo.cl,Viña del Mar
29,Catalina López,catalina.lopez29@correo.cl,La Serena
30,Cristóbal Flores,cristobal.flores30@correo.cl,Concepción
31,Lucas Morales,lucas.morales31@correo.cl,Santiago
32,Joaquín Muñoz,joaquin.munoz32@correo.cl,Temuco
33,Valentina Contreras,valentina.contreras33@correo.cl,Puerto Montt
34,Maite Morales,maite.morales34@correo.cl,Concepción
35,Camila Torres,camila.torres35@correo.cl,Antofagasta
36,Maite Hernández,maite.hernandez36@correo.cl,Viña del Mar
37,Joaquín Flores,joaquin.flores37@correo.cl,Talca
